净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-03-30,1.2499,1.2499,0.02%,开放申购,开放赎回,
2016-03-29,1.2496,1.2496,-0.06%,开放申购,开放赎回,
2016-03-28,1.2504,1.2504,-0.02%,开放申购,开放赎回,
2016-03-25,1.2507,1.2507,0.02%,开放申购,开放赎回,
2016-03-24,1.2504,1.2504,-0.03%,开放申购,开放赎回,
2016-03-23,1.2508,1.2508,0.01%,开放申购,开放赎回,
2016-03-22,1.2507,1.2507,-0.03%,开放申购,开放赎回,
2016-03-21,1.2511,1.2511,0.04%,开放申购,开放赎回,
2016-03-18,1.2506,1.2506,0.06%,开放申购,开放赎回,
2016-03-17,1.2499,1.2499,0.06%,开放申购,开放赎回,
2016-03-16,1.2492,1.2492,-0.06%,开放申购,开放赎回,
2016-03-15,1.2499,1.2499,0.04%,开放申购,开放赎回,
2016-03-14,1.2494,1.2494,0.06%,开放申购,开放赎回,
2016-03-11,1.2486,1.2486,0.03%,开放申购,开放赎回,
2016-03-10,1.2482,1.2482,-0.10%,开放申购,开放赎回,
2016-03-09,1.2494,1.2494,-0.02%,开放申购,开放赎回,
2016-03-08,1.2497,1.2497,0.08%,开放申购,开放赎回,
2016-03-07,1.2487,1.2487,0.13%,开放申购,开放赎回,
2016-03-04,1.2471,1.2471,-0.07%,开放申购,开放赎回,
2016-03-03,1.2480,1.2480,0.02%,开放申购,开放赎回,
2016-03-02,1.2477,1.2477,0.06%,开放申购,开放赎回,
2016-03-01,1.2469,1.2469,0.05%,开放申购,开放赎回,
2016-02-29,1.2463,1.2463,-0.02%,开放申购,开放赎回,
2016-02-26,1.2466,1.2466,0.01%,开放申购,开放赎回,
2016-02-25,1.2465,1.2465,-0.09%,开放申购,开放赎回,
2016-02-24,1.2476,1.2476,0.00%,开放申购,开放赎回,
2016-02-23,1.2476,1.2476,0.07%,开放申购,开放赎回,
2016-02-22,1.2467,1.2467,0.02%,开放申购,开放赎回,
2016-02-19,1.2464,1.2464,0.00%,开放申购,开放赎回,
2016-02-18,1.2464,1.2464,0.10%,开放申购,开放赎回,
2016-02-17,1.2451,1.2451,0.01%,开放申购,开放赎回,
2016-02-16,1.2450,1.2450,0.04%,开放申购,开放赎回,
2016-02-15,1.2445,1.2445,0.07%,开放申购,开放赎回,
2016-02-05,1.2436,1.2436,0.10%,开放申购,开放赎回,
2016-02-04,1.2424,1.2424,0.16%,开放申购,开放赎回,
2016-02-03,1.2404,1.2404,0.02%,开放申购,开放赎回,
2016-02-02,1.2401,1.2401,0.06%,开放申购,开放赎回,
2016-02-01,1.2394,1.2394,0.00%,开放申购,开放赎回,
2016-01-29,1.2394,1.2394,0.20%,开放申购,开放赎回,
2016-01-28,1.2369,1.2369,-0.12%,限制大额申购,开放赎回,
2016-01-27,1.2384,1.2384,-0.24%,限制大额申购,开放赎回,
2016-01-26,1.2414,1.2414,-0.58%,限制大额申购,开放赎回,
2016-01-25,1.2487,1.2487,0.06%,限制大额申购,开放赎回,
2016-01-22,1.2480,1.2480,0.06%,限制大额申购,开放赎回,
2016-01-21,1.2472,1.2472,-0.12%,限制大额申购,开放赎回,
2016-01-20,1.2487,1.2487,-0.06%,限制大额申购,开放赎回,
2016-01-19,1.2495,1.2495,0.09%,限制大额申购,开放赎回,
2016-01-18,1.2484,1.2484,0.06%,限制大额申购,开放赎回,
2016-01-15,1.2477,1.2477,-0.13%,限制大额申购,开放赎回,
2016-01-14,1.2493,1.2493,0.11%,限制大额申购,开放赎回,
2016-01-13,1.2479,1.2479,-0.06%,限制大额申购,开放赎回,
2016-01-12,1.2486,1.2486,0.07%,限制大额申购,开放赎回,
2016-01-11,1.2477,1.2477,-0.07%,限制大额申购,开放赎回,
2016-01-08,1.2486,1.2486,0.11%,限制大额申购,开放赎回,
2016-01-07,1.2472,1.2472,-0.10%,限制大额申购,开放赎回,
2016-01-06,1.2484,1.2484,0.09%,限制大额申购,开放赎回,
2016-01-05,1.2473,1.2473,-0.06%,限制大额申购,开放赎回,
2016-01-04,1.2480,1.2480,-0.16%,限制大额申购,开放赎回,
2015-12-31,1.2500,1.2500,-0.05%,限制大额申购,开放赎回,
2015-12-30,1.2506,1.2506,0.06%,限制大额申购,开放赎回,
2015-12-29,1.2498,1.2498,0.06%,限制大额申购,开放赎回,
2015-12-28,1.2490,1.2490,0.06%,限制大额申购,开放赎回,
2015-12-25,1.2483,1.2483,0.06%,限制大额申购,开放赎回,
2015-12-24,1.2475,1.2475,0.04%,限制大额申购,开放赎回,
2015-12-23,1.2470,1.2470,0.00%,限制大额申购,开放赎回,
2015-12-22,1.2470,1.2470,0.06%,限制大额申购,开放赎回,
2015-12-21,1.2463,1.2463,0.06%,限制大额申购,开放赎回,
2015-12-18,1.2455,1.2455,0.02%,限制大额申购,开放赎回,
2015-12-17,1.2452,1.2452,0.05%,限制大额申购,开放赎回,
2015-12-16,1.2446,1.2446,0.02%,限制大额申购,开放赎回,
2015-12-15,1.2443,1.2443,0.01%,限制大额申购,开放赎回,
2015-12-14,1.2442,1.2442,0.02%,限制大额申购,开放赎回,
2015-12-11,1.2439,1.2439,0.02%,限制大额申购,开放赎回,
2015-12-10,1.2436,1.2436,0.02%,限制大额申购,开放赎回,
2015-12-09,1.2433,1.2433,0.02%,限制大额申购,开放赎回,
2015-12-08,1.2430,1.2430,-0.02%,限制大额申购,开放赎回,
2015-12-07,1.2433,1.2433,0.02%,限制大额申购,开放赎回,
2015-12-04,1.2430,1.2430,0.05%,限制大额申购,开放赎回,
2015-12-03,1.2424,1.2424,0.05%,限制大额申购,开放赎回,
2015-12-02,1.2418,1.2418,-0.01%,限制大额申购,开放赎回,
2015-12-01,1.2419,1.2419,-0.02%,限制大额申购,开放赎回,
2015-11-30,1.2421,1.2421,0.03%,限制大额申购,开放赎回,
2015-11-27,1.2417,1.2417,-0.14%,限制大额申购,开放赎回,
2015-11-26,1.2434,1.2434,0.00%,限制大额申购,开放赎回,
2015-11-25,1.2434,1.2434,0.06%,限制大额申购,开放赎回,
2015-11-24,1.2427,1.2427,0.05%,限制大额申购,开放赎回,
2015-11-23,1.2421,1.2421,-0.02%,限制大额申购,开放赎回,
2015-11-20,1.2424,1.2424,0.06%,限制大额申购,开放赎回,
2015-11-19,1.2417,1.2417,0.04%,限制大额申购,开放赎回,
2015-11-18,1.2412,1.2412,-0.04%,限制大额申购,开放赎回,
2015-11-17,1.2417,1.2417,-0.03%,限制大额申购,开放赎回,
2015-11-16,1.2421,1.2421,0.05%,开放申购,开放赎回,
2015-11-13,1.2415,1.2415,,封闭期,封闭期,
