净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-07-20,1.3760,1.3760,0.00%,限制大额申购,开放赎回,
2016-07-19,1.3760,1.3760,-0.22%,限制大额申购,开放赎回,
2016-07-18,1.3790,1.3790,0.00%,限制大额申购,开放赎回,
2016-07-15,1.3790,1.3790,0.22%,限制大额申购,开放赎回,
2016-07-14,1.3760,1.3760,-0.07%,限制大额申购,开放赎回,
2016-07-13,1.3770,1.3770,-0.07%,限制大额申购,开放赎回,
2016-07-12,1.3780,1.3780,0.51%,限制大额申购,开放赎回,
2016-07-11,1.3710,1.3710,0.07%,限制大额申购,开放赎回,
2016-07-08,1.3700,1.3700,-0.07%,限制大额申购,开放赎回,
2016-07-07,1.3710,1.3710,0.00%,限制大额申购,开放赎回,
2016-07-06,1.3710,1.3710,0.07%,限制大额申购,开放赎回,
2016-07-05,1.3700,1.3700,0.00%,限制大额申购,开放赎回,
2016-07-04,1.3700,1.3700,0.07%,限制大额申购,开放赎回,
2016-07-01,1.3690,1.3690,0.00%,限制大额申购,开放赎回,
2016-06-30,1.3690,1.3690,0.07%,限制大额申购,开放赎回,
2016-06-29,1.3680,1.3680,0.00%,限制大额申购,开放赎回,
2016-06-28,1.3680,1.3680,0.07%,限制大额申购,开放赎回,
2016-06-27,1.3670,1.3670,0.15%,限制大额申购,开放赎回,
2016-06-24,1.3650,1.3650,0.07%,限制大额申购,开放赎回,
2016-06-23,1.3640,1.3640,0.00%,限制大额申购,开放赎回,
2016-06-22,1.3640,1.3640,0.07%,限制大额申购,开放赎回,
2016-06-21,1.3630,1.3630,-0.07%,限制大额申购,开放赎回,
2016-06-20,1.3640,1.3640,0.07%,限制大额申购,开放赎回,
2016-06-17,1.3630,1.3630,0.07%,限制大额申购,开放赎回,
2016-06-16,1.3620,1.3620,0.00%,限制大额申购,开放赎回,
2016-06-15,1.3620,1.3620,0.07%,限制大额申购,开放赎回,
2016-06-14,1.3610,1.3610,0.00%,限制大额申购,开放赎回,
2016-06-13,1.3610,1.3610,-0.07%,限制大额申购,开放赎回,
2016-06-08,1.3620,1.3620,0.00%,限制大额申购,开放赎回,
2016-06-07,1.3620,1.3620,0.07%,限制大额申购,开放赎回,
2016-06-06,1.3610,1.3610,0.00%,限制大额申购,开放赎回,
2016-06-03,1.3610,1.3610,0.07%,限制大额申购,开放赎回,
2016-06-02,1.3600,1.3600,0.00%,限制大额申购,开放赎回,
2016-06-01,1.3600,1.3600,0.07%,限制大额申购,开放赎回,
2016-05-31,1.3590,1.3590,0.07%,限制大额申购,开放赎回,
2016-05-30,1.3580,1.3580,0.07%,限制大额申购,开放赎回,
2016-05-27,1.3570,1.3570,-0.07%,限制大额申购,开放赎回,
2016-05-26,1.3580,1.3580,0.07%,限制大额申购,开放赎回,
2016-05-25,1.3570,1.3570,0.00%,限制大额申购,开放赎回,
2016-05-24,1.3570,1.3570,0.00%,限制大额申购,开放赎回,
2016-05-23,1.3570,1.3570,0.00%,限制大额申购,开放赎回,
2016-05-20,1.3570,1.3570,0.07%,限制大额申购,开放赎回,
2016-05-19,1.3560,1.3560,0.00%,限制大额申购,开放赎回,
2016-05-18,1.3560,1.3560,-0.07%,限制大额申购,开放赎回,
2016-05-17,1.3570,1.3570,0.00%,限制大额申购,开放赎回,
2016-05-16,1.3570,1.3570,0.07%,限制大额申购,开放赎回,
2016-05-13,1.3560,1.3560,0.00%,限制大额申购,开放赎回,
2016-05-12,1.3560,1.3560,-0.07%,限制大额申购,开放赎回,
2016-05-11,1.3570,1.3570,0.07%,限制大额申购,开放赎回,
2016-05-10,1.3560,1.3560,0.00%,限制大额申购,开放赎回,
2016-05-09,1.3560,1.3560,-0.15%,限制大额申购,开放赎回,
2016-05-06,1.3580,1.3580,-0.15%,限制大额申购,开放赎回,
2016-05-05,1.3600,1.3600,0.07%,限制大额申购,开放赎回,
2016-05-04,1.3590,1.3590,0.00%,限制大额申购,开放赎回,
2016-05-03,1.3590,1.3590,0.15%,限制大额申购,开放赎回,
2016-04-29,1.3570,1.3570,0.00%,限制大额申购,开放赎回,
2016-04-28,1.3570,1.3570,0.00%,限制大额申购,开放赎回,
2016-04-27,1.3570,1.3570,0.00%,限制大额申购,开放赎回,
2016-04-26,1.3570,1.3570,0.07%,限制大额申购,开放赎回,
2016-04-25,1.3560,1.3560,0.00%,限制大额申购,开放赎回,
2016-04-22,1.3560,1.3560,0.00%,限制大额申购,开放赎回,
2016-04-21,1.3560,1.3560,0.00%,限制大额申购,开放赎回,
2016-04-20,1.3560,1.3560,-0.07%,限制大额申购,开放赎回,
2016-04-19,1.3570,1.3570,0.00%,限制大额申购,开放赎回,
2016-04-18,1.3570,1.3570,-0.07%,限制大额申购,开放赎回,
2016-04-15,1.3580,1.3580,0.00%,限制大额申购,开放赎回,
2016-04-14,1.3580,1.3580,0.07%,限制大额申购,开放赎回,
2016-04-13,1.3570,1.3570,0.07%,限制大额申购,开放赎回,
2016-04-12,1.3560,1.3560,0.00%,限制大额申购,开放赎回,
2016-04-11,1.3560,1.3560,0.15%,限制大额申购,开放赎回,
2016-04-08,1.3540,1.3540,0.00%,限制大额申购,开放赎回,
2016-04-07,1.3540,1.3540,-0.07%,限制大额申购,开放赎回,
2016-04-06,1.3550,1.3550,0.00%,限制大额申购,开放赎回,
2016-04-05,1.3550,1.3550,0.15%,限制大额申购,开放赎回,
2016-04-01,1.3530,1.3530,0.00%,限制大额申购,开放赎回,
2016-03-31,1.3530,1.3530,0.07%,限制大额申购,开放赎回,
2016-03-30,1.3520,1.3520,0.15%,限制大额申购,开放赎回,
2016-03-29,1.3500,1.3500,-0.07%,限制大额申购,开放赎回,
2016-03-28,1.3510,1.3510,0.00%,限制大额申购,开放赎回,
2016-03-25,1.3510,1.3510,0.07%,限制大额申购,开放赎回,
2016-03-24,1.3500,1.3500,-0.07%,限制大额申购,开放赎回,
2016-03-23,1.3510,1.3510,0.07%,限制大额申购,开放赎回,
2016-03-22,1.3500,1.3500,0.00%,限制大额申购,开放赎回,
2016-03-21,1.3500,1.3500,0.07%,限制大额申购,开放赎回,
2016-03-18,1.3490,1.3490,0.07%,限制大额申购,开放赎回,
2016-03-17,1.3480,1.3480,0.07%,限制大额申购,开放赎回,
2016-03-16,1.3470,1.3470,0.00%,限制大额申购,开放赎回,
2016-03-15,1.3470,1.3470,0.00%,限制大额申购,开放赎回,
2016-03-14,1.3470,1.3470,0.07%,限制大额申购,开放赎回,
2016-03-11,1.3460,1.3460,0.00%,限制大额申购,开放赎回,
2016-03-10,1.3460,1.3460,-0.07%,限制大额申购,开放赎回,
2016-03-09,1.3470,1.3470,-0.07%,限制大额申购,开放赎回,
